Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
214,0.033118367,0.189203814,0.384593815,0.156085446,0.351475447
215,0.106868021,0.432971328,0.336073071,0.326103300,0.229205042
216,0.723367751,0.798240364,0.118922494,0.074872613,0.604445279
217,0.410287559,0.205554366,0.141070217,0.204733193,0.269217342
218,0.316056937,0.382911980,0.217610389,0.066855043,0.098446548
219,0.216359079,0.231103331,0.303069174,0.014744252,0.086710095
220,0.145897374,0.109095052,0.687303305,0.036802322,0.541405916
221,0.127096221,0.108949199,0.463022262,0.018147022,0.335926056
222,0.206728980,0.107129678,0.285814553,0.099599302,0.079085574
223,0.165226892,0.135569304,0.226602942,0.029657587,0.061376050
224,0.232859910,0.258654058,0.083289646,0.025794148,0.149570256
225,0.516941130,0.660071850,0.071408182,0.143130720,0.445532948
226,0.234004602,0.318794161,0.128839120,0.084789559,0.105165482
227,0.264438242,0.197628245,0.212198585,0.066809997,0.052239656
228,0.152104676,0.196524397,0.337712556,0.044419721,0.185607880
229,0.484907091,0.141711995,0.807283878,0.343195081,0.322376788
230,0.276685089,0.117211565,0.301280618,0.159473523,0.024595529
231,0.282118320,0.245813921,0.242760673,0.036304399,0.039357647
232,0.259204388,0.346082956,0.112137072,0.086878568,0.147067308
233,0.355644822,0.413494796,0.072378635,0.057849973,0.283266187
234,0.095097534,0.757656157,0.045819201,0.662558615,0.049278334
235,0.066369124,0.239116326,0.111690767,0.172747195,0.045321643
236,0.047909137,0.093926780,0.261558980,0.046017643,0.213649839
237,0.043885641,0.129139528,0.285755187,0.085253887,0.241869539
238,0.748332024,0.092862010,0.794651508,0.655470014,0.046319485
239,0.613331497,0.102189109,0.295731902,0.511142373,0.317599595
240,0.121131122,0.159503534,0.296351790,0.038372412,0.175220668
241,0.095543966,0.246777356,0.064971171,0.151233390,0.030572794
242,0.149507925,0.487724215,0.156149581,0.338216305,0.006641656
243,0.268689990,0.777272284,0.332089275,0.508582294,0.063399285
244,0.017980916,0.188832641,0.277537674,0.170851722,0.259556770
245,0.016003279,0.270039827,0.269346148,0.254036546,0.253342867
246,0.023667835,0.157940686,0.217565715,0.134272844,0.193897873
247,0.512321353,0.194715723,0.589643538,0.317605615,0.077322185
248,0.733806610,0.220975310,0.251712322,0.512831330,0.482094288
249,0.047071572,0.054791354,0.237131283,0.007719781,0.190059707
250,0.109227292,0.231293216,0.232216954,0.122065924,0.122989662
251,0.334027678,0.345080286,0.414261878,0.011052608,0.080234200
252,0.485767573,0.502783418,0.301829636,0.017015845,0.183937937
253,0.261379033,0.154131055,0.137781993,0.107247978,0.123597041
254,0.169724450,0.115584463,0.268556267,0.054139987,0.098831818
255,0.121715769,0.377831697,0.375210524,0.256115913,0.253494740
256,0.089502260,0.589259267,0.525719106,0.499756992,0.436216831
257,0.148721501,0.201051027,0.403868645,0.052329525,0.255147159
258,0.167053521,0.180489361,0.337061107,0.013435841,0.170007586
259,0.150320992,0.160388321,0.137415856,0.010067329,0.012905136
260,0.755948246,0.348406523,0.324076891,0.407541722,0.431871355
261,0.600176334,0.197027877,0.284043878,0.403148472,0.316132456
262,0.434219629,0.068871312,0.181209028,0.365348309,0.253010601
263,0.216000259,0.141254321,0.275077790,0.074745938,0.059077531
264,0.132162035,0.420340925,0.253422379,0.288178891,0.121260345
265,0.073040098,0.744859993,0.341474980,0.671819925,0.268434882
266,0.047489177,0.257161438,0.426573813,0.209672257,0.379084647
267,0.144467965,0.104428783,0.514013708,0.040039182,0.369545758
268,0.174575329,0.172483265,0.277083278,0.002092063,0.102507949
269,0.572871089,0.313358009,0.327163786,0.259513080,0.245707303
270,0.708427310,0.883482695,0.210372970,0.175055385,0.498054326
271,0.401137412,0.095573165,0.177504390,0.305564255,0.223633021
272,0.223340318,0.020075746,0.228282705,0.203264564,0.004942387
273,0.191843107,0.067258798,0.287909806,0.124584310,0.096066698
274,0.096256629,0.149387240,0.440556943,0.053130612,0.344300330
275,0.066224709,0.075784951,0.491058618,0.009560242,0.424833894
276,0.051954705,0.083440445,0.466493249,0.031485740,0.414538532
277,0.109683961,0.143432245,0.291043431,0.033748284,0.181359470
278,0.471332103,0.387043029,0.227330357,0.084289074,0.244001746
279,0.665068269,0.940692365,0.115160666,0.275624096,0.549907625
280,0.525089800,0.112320736,0.105199352,0.412769079,0.419890463
