Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
11,0.371999,0.124700,0.103105,0.168152,0.300139,0.096809,0.023736,0.000000,0.109010,0.287885,0.268540,0.069981,0.070334,0.052080,0.049333,0.103966,0.315472,0.224593,0.098381,0.201761,0.311645,0.012397,0.009478,0.009304,0.089797,0.038954,0.148754,0.239177,0.080836,0.020335,0.027956,0.026052,0.034610,0.085723,0.169422,0.286517
12,0.287974,0.268623,0.070002,0.070356,0.052096,0.049349,0.103998,0.315569,0.224662,0.080338,0.042086,0.060038,0.105829,0.364930,0.097491,0.106053,0.087029,0.044631,0.239250,0.080861,0.020341,0.027964,0.026060,0.034621,0.085749,0.169474,0.286605,0.336542,0.088704,0.031362,0.013380,0.000000,0.025493,0.035404,0.054611,0.412641
13,0.066750,0.034968,0.049884,0.087930,0.303207,0.081002,0.088116,0.072309,0.037082,0.228827,0.029157,0.000000,0.059514,0.037726,0.038928,0.060776,0.128739,0.608252,0.279621,0.073701,0.026058,0.011117,0.000000,0.021181,0.029416,0.045374,0.342849,0.214617,0.120393,0.136170,0.066794,0.050463,0.027770,0.257508,0.096597,0.231191
14,0.164524,0.020964,0.000000,0.042790,0.027124,0.027989,0.043697,0.092562,0.437327,0.404679,0.041921,0.031226,0.056883,0.037593,0.062766,0.095622,0.026779,0.364478,0.154308,0.086561,0.097905,0.048024,0.036283,0.019967,0.185146,0.069452,0.166224,0.210026,0.166741,0.013403,0.062605,0.158910,0.193707,0.362258,0.059047,0.253912
15,0.242272,0.100749,0.076604,0.045060,0.649110,0.061087,0.000000,0.021781,0.173965,0.094127,0.061932,0.061626,0.181556,0.207614,0.108158,0.104501,0.105935,0.266018,0.230338,0.094507,0.056664,0.050481,0.069042,0.071437,0.064347,0.259948,0.197916,0.108625,0.071160,0.078046,0.062349,0.052800,0.069682,0.137840,0.094215,0.139331
16,0.143051,0.094122,0.093658,0.275925,0.315527,0.164376,0.158818,0.160998,0.404288,0.209329,0.163277,0.005108,0.011281,0.071012,0.146438,0.156255,0.143394,0.345308,0.165085,0.108148,0.118612,0.094756,0.080243,0.105901,0.209486,0.143186,0.211752,0.098592,0.073290,0.114116,0.079589,0.038739,0.033096,0.084667,0.113565,0.193086
17,0.263323,0.205392,0.006426,0.014190,0.089329,0.184210,0.196559,0.180381,0.434375,0.099959,0.204995,0.316642,0.012596,0.009630,0.009453,0.091237,0.039578,0.151138,0.124022,0.092194,0.143551,0.100118,0.048731,0.041633,0.106505,0.142857,0.242890,0.159115,0.126115,0.389250,0.176111,0.042628,0.047391,0.043417,0.038276,0.143461
18,0.120706,0.247544,0.382363,0.015210,0.011629,0.011415,0.110174,0.047793,0.182508,0.293450,0.099180,0.024949,0.034299,0.031963,0.042464,0.105175,0.207867,0.351533,0.192141,0.152291,0.470041,0.212664,0.051476,0.057227,0.052429,0.046221,0.173237,0.074115,0.023815,0.112988,0.159077,0.078586,0.052873,0.089590,0.112123,0.102499
19,0.288139,0.097385,0.024497,0.033679,0.031385,0.041695,0.103271,0.204104,0.345170,0.405311,0.106830,0.037771,0.016114,0.000000,0.030702,0.042639,0.065770,0.496960,0.072774,0.023384,0.110943,0.156197,0.077164,0.051916,0.087968,0.110093,0.100644,0.247813,0.180410,0.030034,0.070984,0.083568,0.044014,0.242486,0.100095,0.203250
20,0.358020,0.094365,0.033364,0.014234,0.000000,0.027120,0.037664,0.058096,0.438975,0.274791,0.154149,0.174349,0.085521,0.064612,0.035557,0.329708,0.123680,0.296012,0.218898,0.159360,0.026529,0.062702,0.073817,0.038878,0.214193,0.088416,0.179535,0.145594,0.112248,0.058109,0.132766,0.059379,0.114048,0.077568,0.093943,0.228715
21,0.167061,0.093716,0.105997,0.051993,0.039282,0.021617,0.200448,0.075192,0.179963,0.227385,0.180523,0.014511,0.067780,0.172044,0.209718,0.392199,0.063927,0.274898,0.088515,0.068242,0.035328,0.080716,0.036100,0.069336,0.047158,0.057113,0.139049,0.326206,0.145807,0.377438,0.206546,0.161267,0.141136,0.005444,0.198340,0.153997
22,0.367557,0.150808,0.090420,0.080554,0.110173,0.113994,0.102680,0.414807,0.315821,0.173336,0.113553,0.124540,0.099492,0.084254,0.111194,0.219956,0.150342,0.222335,0.373354,0.151208,0.017605,0.056143,0.040220,0.022410,0.090011,0.139914,0.236756,0.118543,0.016243,0.104287,0.084890,0.103434,0.101319,0.024619,0.017899,0.076953
23,0.271991,0.178182,0.195423,0.156118,0.132208,0.174481,0.345146,0.235910,0.348879,0.162438,0.120751,0.188015,0.131129,0.063825,0.054528,0.139495,0.187107,0.318125,0.186013,0.025488,0.163643,0.133205,0.162304,0.158985,0.038631,0.028087,0.120751,0.025385,0.050762,0.002472,0.075999,0.054534,0.064027,0.062528,0.132902,0.212504
24,0.120203,0.089355,0.139130,0.097034,0.047230,0.040350,0.103225,0.138458,0.235410,0.154215,0.122231,0.377262,0.170687,0.041316,0.045931,0.042080,0.037097,0.139043,0.018785,0.037563,0.001829,0.056239,0.040355,0.047380,0.046271,0.098346,0.157251,0.747930,0.085431,0.007549,0.012213,0.015344,0.014809,0.003054,0.003201,0.102414
25,0.162268,0.128613,0.396961,0.179600,0.043473,0.048330,0.044277,0.039034,0.146303,0.062592,0.020113,0.095421,0.134344,0.066368,0.044653,0.075661,0.094690,0.086563,0.786984,0.089892,0.007943,0.012851,0.016145,0.015582,0.003214,0.003368,0.107761,0.148399,0.060155,0.056237,0.009114,0.032584,0.049793,0.032561,0.059957,0.035327
26,0.076423,0.024557,0.116506,0.164029,0.081033,0.054519,0.092379,0.115613,0.105690,0.260238,0.189455,0.031539,0.074543,0.087758,0.046220,0.254644,0.105113,0.213441,0.181189,0.073447,0.068663,0.011127,0.039783,0.060795,0.039756,0.073205,0.043132,0.584609,0.244994,0.113373,0.078537,0.028114,0.034233,0.023782,0.284100,0.328360
27,0.189209,0.137746,0.022931,0.054198,0.063806,0.033605,0.185142,0.076424,0.155185,0.125847,0.097024,0.050228,0.114759,0.051325,0.098579,0.067047,0.081202,0.197694,0.425047,0.178126,0.082429,0.057101,0.020441,0.024890,0.017291,0.206558,0.238738,0.603064,0.011008,0.010925,0.002879,0.029053,0.024086,0.013286,0.073301,0.273017
28,0.082665,0.063732,0.032993,0.075382,0.033714,0.064754,0.044041,0.053339,0.129859,0.304647,0.136171,0.352494,0.192895,0.150609,0.131809,0.005084,0.185232,0.143819,0.396134,0.007231,0.007176,0.001891,0.019084,0.015821,0.008727,0.048149,0.179336,0.547775,0.116277,0.069830,0.000334,0.130079,0.166077,0.035988,0.109412,0.137999
29,0.333938,0.135245,0.015746,0.050215,0.035973,0.020044,0.080508,0.125143,0.211761,0.106028,0.014528,0.093277,0.075928,0.092514,0.090622,0.022020,0.016010,0.068829,0.314222,0.058990,0.016546,0.130236,0.222512,0.081061,0.180789,0.105981,0.259726,0.035038,0.033178,0.055864,0.336708,0.573968,0.123864,0.000000,0.004630,0.006582
30,0.135938,0.018627,0.119590,0.097346,0.118611,0.116186,0.028231,0.020526,0.088245,0.018551,0.037097,0.001807,0.055540,0.039853,0.046791,0.045696,0.097125,0.155298,0.044922,0.042538,0.071623,0.431691,0.735881,0.158806,0.000000,0.005936,0.008438,0.088451,0.002361,0.013355,0.029549,0.193911,0.053935,0.078645,0.128415,0.205841
31,0.017299,0.034592,0.001685,0.051791,0.037163,0.043632,0.042611,0.090568,0.144814,0.688775,0.078674,0.006952,0.011247,0.014130,0.013638,0.002813,0.002948,0.094314,0.082480,0.002202,0.012454,0.027554,0.180820,0.050294,0.073336,0.119746,0.191946,0.584175,0.033030,0.010103,0.013912,0.000000,0.010188,0.010887,0.009599,0.170302
32,0.706920,0.080747,0.007135,0.011544,0.014502,0.013997,0.002887,0.003026,0.096798,0.133301,0.054035,0.050515,0.008187,0.029269,0.044727,0.029248,0.053857,0.031733,0.599564,0.033900,0.010369,0.014279,0.000000,0.010456,0.011174,0.009851,0.174788,0.080683,0.012865,0.002312,0.000000,0.000325,0.016834,0.031810,0.198715,0.116424
