Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
30,0.055858,0.311503,0.192596,0.071428,0.027526,0.005837,0.066378,0.050014,0.060167,0.106460,0.186267,0.076818,0.090549,0.048224,0.006233,0.019911,0.007411,0.069220,0.207697,0.133198,0.045457,0.045819,0.018288,0.045094,0.120028,0.095916,0.240899,0.573629,0.051747,0.024743,0.000000,0.020802,0.017503,0.020827,0.121141,0.530428
31,0.115850,0.202696,0.083593,0.098536,0.052478,0.006783,0.021667,0.008064,0.075325,0.221448,0.174469,0.183808,0.127396,0.016419,0.013456,0.015801,0.006311,0.023801,0.624225,0.056311,0.026925,0.000000,0.022637,0.019047,0.022664,0.131826,0.577214,0.083835,0.158444,0.035236,0.057153,0.050504,0.058437,0.016532,0.015648,0.019160
32,0.275058,0.216706,0.228306,0.158237,0.020394,0.016713,0.019626,0.007839,0.029563,0.589928,0.312643,0.166956,0.063824,0.021157,0.105268,0.140949,0.129713,0.215508,0.104130,0.196801,0.043766,0.070989,0.062730,0.072583,0.020534,0.019436,0.023798,0.194560,0.192605,0.123361,0.048143,0.000000,0.019865,0.106823,0.169662,0.160173
33,0.641504,0.339976,0.181552,0.069404,0.023007,0.114471,0.153271,0.141053,0.234350,0.115748,0.046563,0.011470,0.007062,0.006271,0.002826,0.004505,0.133897,0.232347,0.211571,0.209444,0.134147,0.052353,0.000000,0.021602,0.116162,0.184495,0.174177,0.042162,0.073219,0.082044,0.089806,0.017416,0.018757,0.047981,0.079603,0.128494
34,0.301672,0.121357,0.029895,0.018406,0.016344,0.007364,0.011742,0.348974,0.605562,0.001579,0.005675,0.013041,0.005189,0.012146,0.008769,0.088732,0.004253,0.025007,0.109886,0.190830,0.213830,0.234059,0.045391,0.048885,0.125053,0.207468,0.334891,0.004767,0.073038,0.072292,0.103213,0.069116,0.204398,0.053875,0.006367,0.009858
35,0.000438,0.001575,0.003618,0.001440,0.003370,0.002433,0.024619,0.001180,0.006938,0.330704,0.002231,0.004606,0.012866,0.108601,0.188495,0.002844,0.095336,0.437786,0.001323,0.020265,0.020058,0.028637,0.019177,0.056711,0.014948,0.001766,0.002735,0.789061,0.004520,0.000620,0.001665,0.003807,0.004221,0.004713,0.002313,0.116278
36,0.177418,0.021794,0.057360,0.061587,0.059512,0.082254,0.059588,0.079868,0.519367,0.174796,0.112098,0.038256,0.038561,0.015391,0.037951,0.101014,0.080722,0.202738,0.081917,0.002278,0.016890,0.000000,0.039983,0.096627,0.345601,0.122582,0.546192,0.075689,0.096027,0.087110,0.103042,0.081562,0.111032,0.153186,0.165770,0.107735
37,0.185961,0.119258,0.040700,0.041024,0.016374,0.040375,0.107466,0.085878,0.215688,0.513597,0.046331,0.022153,0.000000,0.018625,0.015671,0.018648,0.108464,0.474917,0.080524,0.102161,0.092674,0.109624,0.086772,0.118124,0.162971,0.176358,0.114616,0.312500,0.048220,0.097353,0.074183,0.052063,0.075663,0.046267,0.220365,0.268207
38,0.514726,0.046433,0.022202,0.000000,0.018666,0.015705,0.018689,0.108702,0.475961,0.069129,0.130650,0.029055,0.047127,0.041645,0.048186,0.013632,0.012903,0.015799,0.313187,0.048326,0.097567,0.074346,0.052178,0.075829,0.046368,0.220849,0.268797,0.004490,0.005819,0.147857,0.099509,0.245478,0.319071,0.131970,0.008411,0.071069
39,0.090889,0.171776,0.038201,0.061962,0.054754,0.063354,0.017923,0.016965,0.020772,0.169821,0.168114,0.107675,0.042022,0.000000,0.017339,0.093240,0.148088,0.139806,0.005903,0.007651,0.194400,0.130833,0.322750,0.419508,0.173511,0.011059,0.093440,0.251337,0.068168,0.020867,0.011457,0.029260,0.438882,0.369794,0.194080,0.132520
40,0.212978,0.210837,0.135039,0.052701,0.000000,0.021746,0.116935,0.185722,0.175335,0.042442,0.073706,0.082590,0.090403,0.017532,0.018881,0.048300,0.080132,0.129348,0.315210,0.085492,0.026171,0.014368,0.036696,0.550417,0.463771,0.243402,0.166197,0.007179,0.000000,0.176199,0.039997,0.051716,0.020608,0.065328,0.068923,0.052825
41,0.095224,0.165369,0.185300,0.202830,0.039335,0.042362,0.108368,0.179787,0.290208,0.004131,0.063292,0.062646,0.089441,0.059894,0.177126,0.046686,0.005517,0.008542,0.016106,0.000000,0.395323,0.089738,0.116030,0.046236,0.146571,0.154637,0.118518,0.214331,0.056501,0.092954,0.163194,0.124380,0.412140,0.355712,0.067210,0.250745
42,0.001157,0.017731,0.017550,0.025056,0.016779,0.049620,0.013079,0.001546,0.002393,0.690398,0.003955,0.000542,0.001457,0.003331,0.003694,0.004123,0.002024,0.101739,0.060043,0.015828,0.026040,0.045718,0.034844,0.115458,0.099650,0.018828,0.070244,0.675646,0.005612,0.021393,0.014995,0.011588,0.039668,0.022050,0.007015,0.113662
43,0.085602,0.002381,0.017649,0.000000,0.041781,0.100972,0.361143,0.128094,0.570756,0.079093,0.100345,0.091028,0.107676,0.085231,0.116025,0.160075,0.173225,0.112580,0.554024,0.013107,0.149549,0.152479,0.120546,0.003755,0.000000,0.003680,0.100910,0.003236,0.010161,0.019471,0.047971,0.005968,0.029882,0.014956,0.031666,0.012806
44,0.085260,0.108169,0.098125,0.116071,0.091876,0.125071,0.172555,0.186730,0.121357,0.330879,0.051056,0.103078,0.078546,0.055125,0.080113,0.048988,0.233325,0.283981,0.003488,0.010953,0.020990,0.051711,0.006433,0.032212,0.016122,0.034135,0.013804,0.171075,0.000000,0.000000,0.000000,0.037005,0.035222,0.162275,0.196006,0.689986
45,0.298939,0.046127,0.093128,0.070964,0.049804,0.072379,0.044259,0.210802,0.256568,0.004286,0.005554,0.141131,0.094982,0.234311,0.304555,0.125966,0.008029,0.067835,0.154561,0.000000,0.000000,0.000000,0.033433,0.031822,0.146610,0.177086,0.623381,0.025165,0.005425,0.028366,0.056811,0.082697,0.141967,0.007093,0.244969,0.135845
46,0.004663,0.006043,0.153551,0.103341,0.254931,0.331358,0.137052,0.008735,0.073805,0.198524,0.053844,0.016483,0.009049,0.023112,0.346661,0.292090,0.153298,0.104674,0.027380,0.005902,0.030862,0.061811,0.089975,0.154461,0.007717,0.266528,0.147800,0.025544,0.029915,0.014905,0.024742,0.044694,0.271737,0.230579,0.460584,0.097296
47,0.213153,0.057812,0.017697,0.009716,0.024815,0.372206,0.313613,0.164595,0.112387,0.004854,0.000000,0.119150,0.027047,0.034971,0.013936,0.044176,0.046608,0.035721,0.027426,0.032119,0.016003,0.026565,0.047988,0.291761,0.247570,0.494524,0.104466,0.009775,0.050037,0.035367,0.044999,0.049232,0.015133,0.101761,0.441197,0.177059
48,0.008437,0.000000,0.207077,0.047006,0.060779,0.024220,0.076776,0.081002,0.062082,0.112270,0.029596,0.048691,0.085484,0.065153,0.215887,0.186329,0.035206,0.131345,0.016988,0.086962,0.061467,0.078206,0.085562,0.026300,0.176856,0.766779,0.307721,0.050387,0.058719,0.046449,0.157352,0.050414,0.101408,0.063464,0.115901,0.064495
49,0.063482,0.016735,0.027532,0.048336,0.036840,0.122071,0.105357,0.019907,0.074267,0.714344,0.005934,0.022618,0.015854,0.012252,0.041940,0.023313,0.007416,0.120172,0.028491,0.033202,0.026264,0.088973,0.028506,0.057340,0.035885,0.065535,0.036468,0.544409,0.025700,0.004492,0.056812,0.075348,0.011287,0.029126,0.024551,0.319707
50,0.573345,0.013564,0.154765,0.157796,0.124750,0.003885,0.000000,0.003808,0.104429,0.003349,0.010515,0.020151,0.049644,0.006176,0.030924,0.015477,0.032770,0.013252,0.767847,0.003269,0.002567,0.001189,0.003761,0.001582,0.000177,0.001398,0.002251,0.008816,0.002810,0.006773,0.006246,0.021306,0.002150,0.000979,0.001288,0.001821
51,0.003249,0.010202,0.019550,0.048164,0.005992,0.030002,0.015016,0.031793,0.012857,0.159340,0.000000,0.000000,0.000000,0.034467,0.032806,0.151144,0.182561,0.642657,0.008553,0.002726,0.006571,0.006060,0.020671,0.002086,0.000950,0.001249,0.001767,0.002991,0.009704,0.017576,0.035060,0.030251,0.020655,0.042512,0.680406,0.172253
52,0.136749,0.000000,0.000000,0.000000,0.029580,0.028155,0.129715,0.156678,0.551541,0.022265,0.004800,0.025097,0.050264,0.073167,0.125606,0.006276,0.216738,0.120190,0.002567,0.008328,0.015084,0.030089,0.025962,0.017727,0.036485,0.583937,0.147831,0.110052,0.000000,0.001767,0.000000,0.000000,0.000000,0.012996,0.318552,0.260138
53,0.024558,0.005294,0.027681,0.055440,0.080702,0.138542,0.006922,0.239059,0.132568,0.022911,0.026832,0.013369,0.022192,0.040088,0.243731,0.206815,0.413116,0.087269,0.121386,0.000000,0.001949,0.000000,0.000000,0.000000,0.014335,0.351358,0.286928,0.162549,0.085313,0.014288,0.015072,0.005628,0.016190,0.115271,0.461673,0.359849
54,0.022273,0.026084,0.012996,0.021574,0.038971,0.236940,0.201052,0.401604,0.084837,0.007938,0.040635,0.028722,0.036543,0.039981,0.012289,0.082641,0.358297,0.143790,0.158020,0.082936,0.013890,0.014652,0.005472,0.015739,0.112059,0.448808,0.349821,0.156503,0.080640,0.057087,0.032150,0.062731,0.036456,0.156541,0.176336,0.324150
